word,count
usually,992
girl,991
disc,991
ones,987
month,983
horror,983
agree,980
tracks,979
longer,979
important,978
music.,978
greatest,976
player,972
series.,970
later,969
low,967
perhaps,966
slow,962
open,961
that.,959
free,958
material,954
matter,949
company,949
taking,946
hate,944
clear,943
they're,942
call,941
"that,",938
effects,937
keeps,935
weeks,935
computer,932
spend,930
"also,",926
cool,925
poorly,923
"one,",922
",",921
house,920
mean,920
pictures,915
dvd.,913
strong,912
disappointed.,910
due,910
husband,910
word,907
taken,906
terrible,905
course,902
store,898
"story,",896
war,896
horrible,894
"is,",890
coming,888
down.,887
against,884
support,881
human,881
phone,877
albums,874
price.,871
thank,871
giving,870
except,869
leave,868
class,868
actors,868
hoping,867
"read,",864
toy,861
20,857
happened,855
wrote,853
spent,853
awesome,853
chapter,853
older,852
fall,851
guys,849
hot,848
"but,",843
suggest,843
is.,841
missing,840
cast,838
color,837
wants,837
dark,837
inside,836
modern,835
available,834
pop,827
there.,826
finished,824
broke,824
wife,822
wonder,821
use.,821
plays,821
more.,819
off.,818
lack,817
service,812
view,810
way.,809
move,808
age,808
sorry,807
stand,805
language,805
boy,804
third,804
end.,803
brand,802
etc.,801
middle,799
soon,799
features,798
paid,797
decent,797
sad,796
bad.,796
follow,795
stopped,795
recently,795
saying,794
performance,793
returned,791
feeling,791
men,791
here.,788
screen,787
(the,787
deal,786
waiting,785
throughout,784
"out,",784
excited,784
basic,784
hit,783
stupid,781
known,779
week,778
record,775
now.,774
quickly,772
audio,772
released,771
major,771
...,770
actual,770
handle,764
hand,764
historical,760
behind,759
group,759
god,755
heart,754
boring.,754
fell,753
description,752
car,751
metal,750
personal,749
interest,749
(i,748
text,748
to.,748
"now,",748
ended,747
aren't,747
"film,",745
ok,741
times.,739
lyrics,739
mine,738
recommended,738
replace,736
"album,",736
expecting,735
"books,",733
picked,730
none,727
surprised,726
alot,724
bring,724
local,724
starts,724
customer,721
likes,720
send,718
fantastic,717
room,717
similar,717
heavy,717
clearly,710
"again,",710
sort,709
figure,709
miss,708
uses,708
30,707
king,706
quick,705
living,705
level,705
useful,705
stick,705
plus,704
amount,704
system,703
"them,",701
somewhat,701
nearly,700
serious,699
running,698
"so,",698
including,698
pieces,697
tape,696
learned,695
"music,",694
total,693
entertaining,692
became,691
attention,691
best.,689
cost,688
characters.,687
face,687
card,686
bottom,685
beyond,683
realize,683
dry,682
obviously,681
lives,681
him.,680
listened,680
book!,680
talking,678
ago.,677
gone,675
upon,675
readers,675
season,674
day.,673
clean,673
reviewers,670
ideas,670
paper,669
tells,667
design,667
"unfortunately,",665
you've,662
sit,661
(which,658
dead,658
hour,658
movies.,657
worse,656
turns,655
print,652
products,652
machine,652
fantasy,651
hair,650
recording,650
replacement,646
learning,646
across,644
much.,644
kindle,643
15,641
8,640
basically,640
mostly,640
pleased,639
brought,638
novel.,638
back.,637
front,636
wear,635
mother,635
air,634
feels,634
knows,633
art,632
filled,631
tale,631
detail,630
musical,629
happen,628
plan,628
included,627
break,626
radio,625
u,625
unfortunately,624
not.,624
thanks,621
future,620
certain,620
production,620
consider,620
despite,620
"yes,",619
shipping,619
whether,618
in.,618
she's,617
dog,616
drive,616
today,615
"characters,",614
questions,611
imagine,610
software,610
chapters,609
putting,608
humor,608
means,607
writer,607
death,607
himself,606
enjoyable,606
forget,606
authors,606
compared,605
amazon.,604
de,604
quality.,604
deep,603
contains,603
kid,602
away.,601
changed,600
near,600
fiction,599
"cd,",598
barely,598
plain,598
diapers,598
space,597
late,596
seller,594
talk,594
example,593
games,592
world.,592
model,590
singing,588
attempt,588
particular,586
chance,586
mention,586
leaves,585
oh,585
science,584
various,583
expensive,582
stuck,581
be.,580
"work,",579
regular,578
hands,577
"up,",576
final,576
helpful,576
subject,576
what's,576
admit,575
super,575
country,572
for.,572
blue,571
version.,569
digital,569
appreciate,567
annoying,565
ms.,564
"and,",564
clay,562
apart,561
red,561
list,560
12,560
issues,560
lead,559
appears,558
novels,557
exciting,557
helped,556
fairly,555
michael,555
added,555
"on,",554
lord,553
vhs,552
cup,552
bunch,552
pass,551
details,551
twice,550
opinion,549
guitar,549
unique,549
"you,",549
otherwise,548
cause,548
"series,",546
hardly,546
avoid,545
"said,",545
cable,544
ask,543
role,542
"fan,",541
value,541
purchasing,540
nor,539
"ago,",539
content,539
straight,538
guide,538
seen.,538
oxo,537
"years,",536
pair,536
beat,536
continue,536
songs.,535
lines,535
test,535
stars.,534
7,534
covers,533
moving,532
sell,532
ten,532
doubt,532
year.,532
did.,531
rate,530
general,530
happens,529
earlier,529
director,528
trouble,527
mystery,527
christian,527
effort,526
pampers,526
standard,525
together.,525
research,524
game.,524
provides,523
thing.,522
hearing,522
form,522
alone,520
mix,519
noticed,519
solid,519
"first,",519
sony,519
business,519
understanding,519
romance,518
brilliant,518
"times,",518
starting,517
comfortable,517
particularly,517
addition,516
about.,516
script,514
jack,514
"say,",513
becomes,513
events,512
reference,512
author's,512
tired,512
parents,512
library,511
incredible,511
skip,511
rating,511
comedy,511
weak,509
finding,509
adventure,509
though.,509
boys,508
negative,508
opening,508
collection.,506
depth,506
broken,506
bother,504
wasted,504
plenty,503
incredibly,503
opened,503
made.,502
blu-ray,502
volume,501
impossible,499
"bad,",499
"life,",499
thin,498
dialogue,498
reading.,498
do.,497
versions,497
unlike,497
setting,496
"fact,",496
sing,496
her.,495
considering,495
thats,495
laugh,494
package,494
telling,494
immediately,494
average,493
wrong.,493
pure,493
background,492
fits,492
reviewer,491
impressed,491
eyes,491
brings,491
awful,490
examples,490
fight,489
control,488
girls,488
advice,488
message,488
ready,487
body,487
"though,",486
rent,485
holds,484
(or,484
george,482
talent,481
forced,481
helps,480
throw,480
scary,480
hated,479
pull,479
study,479
common,479
im,479
typical,478
present,478
cute,477
interesting.,477
issue,477
instructions,476
sex,476
windows,474
powerful,474
with.,473
graphics,473
bands,473
college,473
"here,",473
six,473
either.,472
usual,471
!,469
online,469
ability,469
memory,467
jazz,467
slightly,464
realized,463
society,461
points,460
problem.,460
insight,459
dance,458
bored,458
"course,",457
above,457
feature,457
reads,457
positive,456
touch,456
tries,455
anne,455
james,455
cant,454
ends,454
else.,453
"plot,",453
correct,452
charge,451
shoes,451
shame,451
begin,450
among,450
choice,450
didnt,450
themselves,450
larger,449
today.,449
"overall,",449
create,448
fun.,448
items,448
"way,",448
"product,",447
possibly,447
required,446
period,446
david,446
wanting,444
failed,444
provide,444
falls,444
web,443
disappointment.,443
ever.,442
yes,442
include,442
hollywood,442
laptop,442
possible,441
sets,441
green,441
storyline,441
taste,440
perfectly,440
asked,440
gotten,439
soundtrack,438
returning,438
purchase.,438
bible,438
smaller,437
evil,437
meaning,437
knowledge,436
students,436
obvious,435
difference,435
old.,435
adult,435
recent,434
great!,434
outside,434
people.,433
feet,433
creative,433
search,433
ways,433
self,433
section,432
soft,432
days.,432
"""if",432
classic.,432
100,431
halloween,431
easier,430
batman,430
missed,429
over.,429
"movies,",429
sold,428
current,428
began,428
peter,427
romantic,427
held,427
replaced,426
tool,426
funny.,426
introduction,426
bag,426
mentioned,425
summer,425
others.,425
includes,425
written.,424
descriptions,424
father,423
flat,423
named,423
fresh,422
sitting,422
trip,421
concert,421
loud,420
terrible.,420
whatever,420
edge,420
thoroughly,418
relationship,418
lacks,418
act,418
device,418
reviews.,417
strange,416
"reviews,",416
writes,415
area,415
created,414
"end,",414
kill,413
"boring,",413
carry,413
adapter,413
french,412
disappointing,412
owned,411
bed,411
british,411
city,410
transfer,410
caught,410
ice,410
wireless,410
grade,409
fine.,409
dull,409
range,409
places,408
fascinating,408
master,407
definately,407
explain,406
brother,406
sweet,406
plot.,406
truth,406
was.,405
development,405
food,404
"songs,",404
familiar,403
weight,403
female,403
usb,403
theme,403
onto,402
popular,402
jane,402
moments,401
puts,401
wide,400
normal,400
personally,399
showed,399
concept,399
fan.,399
question,399
anyone.,399
step,398
"there,",398
robert,398
program,398
deserves,398
"off,",398
pain,398
political,398
involved,397
place.,396
movie!,396
constantly,395
younger,395
sleep,395
condition,394
dr.,394
printer,394
fully,393
shot,393
offers,393
batteries,392
la,392
plug,392
process,392
recomend,391
skin,391
image,391
finds,391
produced,391
"funny,",391
lasted,391
covered,390
meant,390
regret,390
done.,389
hasn't,389
prefer,389
battle,389
"ok,",388
before.,388
state,387
shipped,387
town,387
rated,386
biggest,386
receive,386
"dvd,",386
described,386
choose,385
performances,384
minute,383
instead.,383
relate,383
heat,382
complaint,382
9,382
ray,382
so.,381
"novel,",380
towards,380
horrible.,380
following,380
allow,379
2nd,378
moves,378
died,378
trust,378
"written,",378
amazing.,376
honestly,376
followed,376
falling,376
1/2,376
absolute,375
technical,375
writers,375
useless,374
designed,374
works.,374
tight,374
have.,374
compare,374
sound.,374
apparently,373
cds,372
beautifully,372
button,372
cheaper,372
"money,",371
months.,371
"use,",371
detailed,371
confusing,371
fire,371
suppose,371
talented,371
published,371
offer,370
recipes,370
job.,370
figured,368
turning,368
focus,368
shown,368
first.,368
journey,368
blade,368
50,367
mom,367
table,367
dvds,367
connection,367
teach,366
noise,366
format,366
cold,366
sister,365
artist,365
"then,",364
through.,364
further,364
moved,363
own.,362
eventually,362
sounded,361
vocals,360
accurate,360
per,359
likely,359
episodes,359
watch.,359
rich,358
travel,358
experience.,358
"better,",358
hits,358
long.,358
press,358
internet,357
originally,357
literally,357
grow,357
(not,356
die,356
seriously,356
minutes.,356
install,356
lived,355
weren't,355
build,355
episode,355
key,355
describe,355
headphones,355
warm,354
base,354
note,354
fix,354
"day,",353
videos,353
higher,352
disk,352
threw,352
cd's,352
item.,352
loose,352
office,351
"price,",350
hell,350
notice,350
share,350
disappointing.,350
right.,349
ipod,349
account,349
ball,349
pages.,348
silly,348
double,348
"love,",348
knowing,347
buy.,347
fill,347
force,347
speak,347
sequel,347
century,346
neither,346
multiple,346
expected.,346
showing,345
listed,345
facts,345
eye,345
ahead,344
built,344
presented,344
growing,343
recorded,343
nature,343
unable,343
comic,343
morning,342
daily,342
"yet,",341
variety,341
literature,341
diaper,341
answer,340
date,339
dollars,339
latest,339
magic,339
actor,339
crazy,339
okay,339
enough.,338
singer,338
set.,338
"people,",337
changes,336
we've,336
you'd,336
ending.,336
problems.,336
discovered,335
provided,335
excellent.,334
considered,334
club,334
soul,334
appear,333
photos,333
america,333
moment,333
illustrations,333
practice,332
social,332
pack,332
leaving,331
shouldn't,331
around.,330
result,330
allows,330
garbage,330
respect,330
switch,330
developed,330
awful.,330
student,330
lose,329
teacher,329
gun,329
point.,328
grew,328
seat,328
bigger,328
realistic,328
hopes,327
meet,327
catch,327
strongly,327
:),327
saved,326
killed,326
dream,326
terms,326
"""a",326
children.,325
normally,325
stuff.,325
(,325
show.,325
case.,325
wondering,324
history.,324
herself,324
begins,324
outstanding,324
complex,323
"opinion,",323
numerous,323
apple,322
sci-fi,322
beauty,321
"much,",321
thinks,321
limited,321
earth,321
hadn't,321
info,320
video.,320
"interesting,",320
40,320
selling,319
blood,318
stone,318
bottle,318
badly,318
credit,318
wearing,317
mixed,317
tivo,317
hopefully,316
condition.,316
us.,316
professional,316
"acting,",316
roll,315
yet.,315
kinda,315
zero,315
runs,314
road,314
keeping,313
faith,313
reccomend,313
installed,313
somewhere,312
fails,312
till,312
song.,312
"""""i",311
style.,311
remove,311
shower,311
kitchen,310
rare,310
website,310
hero,310
player.,309
religious,309
(as,309
predictable,309
adults,309
whose,309
afraid,309
copies,309
tom,309
"quality,",308
superb,308
author.,308
weird,308
fair,308
doesnt,308
surprise,308
class.,307
"""my",307
site,307
names,307
mark,307
source,307
sick,307
school.,307
disney,306
ordering,306
players,306
speed,306
gonna,306
family.,306
sturdy,305
rice,305
"in,",304
let's,304
stated,303
flow,303
drawn,303
favor,303
led,303
"not,",302
push,302
famous,302
match,302
generally,302
wont,302
walk,302
reach,302
public,301
foot,301
purpose,301
lee,301
states,301
harry,301
kit,301
satisfied,300
stephen,300
thrown,300
"character,",300
letter,299
far.,299
"long,",299
beats,299
itself.,299
studio,299
memories,299
party,298
specific,298
errors,298
giver,298
"version,",297
disappointment,297
somehow,297
rubber,297
ship,297
paul,297
night.,296
anybody,296
artists,296
genre,296
cord,296
"do,",296
suspense,296
rented,296
literary,296
lid,296
cutting,296
tunes,295
market,295
emotional,295
chose,294
love.,293
south,293
career,293
pc,292
rarely,292
edition.,292
adds,292
lights,291
sharp,291
lets,291
eat,291
masterpiece,290
forever,290
bonus,289
approach,289
smell,289
experienced,289
spending,289
aware,288
careful,288
explains,288
lower,288
wonderful.,287
trash,287
pleasure,287
anything.,287
ridiculous,287
3d,287
minor,287
mp3,286
besides,286
crap,286
like.,286
comments,286
"""""",286
results,286
hp,286
"fine,",285
"world,",285
"fun,",285
refund,285
community,285
amazed,285
theater,285
holding,284
colors,284
decide,284
ring,284
entirely,284
feelings,284
ear,284
thoughts,284
street,283
perfect.,283
"too,",283
"know,",283
tough,283
contact,283
energy,282
enjoying,282
recommended.,282
project,282
bright,282
brush,282
aspect,281
"old,",281
smooth,281
stands,281
1st,281
"example,",280
types,280
shape,280
play.,280
direction,280
male,280
quit,280
entertaining.,280
packaging,279
anywhere,279
mistake,279
manual,279
audience,279
delivery,279
connect,279
"""as",279
culture,278
aspects,278
christmas.,278
packed,278
managed,278
"before,",278
delivered,278
fighting,278
know.,278
brown,276
tiny,276
(in,276
wall,276
"amazon,",276
ran,276
contacted,275
access,275
bucks,275
allowed,275
printed,275
reality,275
awesome.,275
continues,275
lovely,275
cleaning,275
experiences,275
japanese,274
perspective,274
"""""a",273
character.,273
footage,273
joy,273
reminds,273
"anyway,",273
generation,273
checked,272
"case,",272
these.,272
visual,272
currently,271
additional,271
clever,271
length,271
luck,271
"game,",270
3rd,270
stage,270
hooked,270
waited,270
"action,",270
dumb,270
"year,",270
notes,270
hobbit,270
library.,269
letters,269
images,269
lame,269
count,268
practical,268
wood,268
cat,268
mind.,268
passed,268
vacuum,268
"man,",267
cooking,267
terrific,267
classics,267
mainly,267
beatles,267
router,267
jonas,267
drama,266
(a,266
killer,266
enjoys,266
band.,266
nicely,266
sides,266
commentary,266
pressure,265
future.,265
smith,265
asleep,265
twist,264
(like,264
members,264
meets,264
electric,264
sat,264
"short,",264
changing,264
exact,263
placed,263
review.,263
mess,263
line.,263
potential,263
premise,263
screen.,262
original.,262
worthy,262
searching,261
claims,261
/,261
everyday,261
display,261
natural,260
fish,260
opinion.,260
"stars,",259
"was,",259
catchy,259
download,259
tech,259
voice.,259
cream,259
discover,258
elements,258
speakers,258
sea,257
western,257
anymore.,257
home.,257
punk,257
twists,257
concepts,257
prior,256
blues,256
box.,256
hd,256
rings,256
describes,255
individual,255
bass,255
gift.,255
intended,255
painful,254
shoe,254
writing.,254
regarding,254
"months,",254
lens,254
mouse,253
animals,253
post,253
killing,253
mirror,253
sexual,253
honest,253
viewing,253
blades,253
score,253
secret,252
"to,",252
used.,252
man.,252
superior,252
cheesy,251
"instead,",251
lady,251
junk,251
hilarious,251
plugged,251
opener,251
lacking,250
talks,250
"him,",250
"best,",250
hundred,250
same.,250
"mean,",250
warranty,250
stays,249
kelly,249
frame,249
reasons,249
"author,",249
"""i'm",249
one!,249
adding,249
things.,249
other.,249
information.,248
"far,",248
wonderfully,248
11,248
met,248
documentary,248
media,248
therefore,247
effect,247
quickly.,247
inspired,247
topics,247
intelligent,247
brothers,247
"still,",247
era,247
references,247
"song,",247
tone,246
solo,246
page.,246
struggle,246
bike,246
traditional,245
something.,245
smart,245
success,245
jim,245
center,245
"nice,",245
keurig,245
favorites,244
"wrong,",244
advanced,244
appeal,244
steel,244
"down,",244
"back,",244
laughing,244
epic,244
stock,243
nobody,243
cuts,243
extras,243
flick,243
nothing.,242
creating,242
store.,242
expectations,242
cover.,242
also.,242
worn,241
odd,241
sending,241
walking,241
extended,241
canon,241
ultimate,240
house.,240
que,240
ride,240
25,240
door,240
today's,240
one's,240
who's,239
wash,239
below,239
lot.,239
pulled,238
proper,238
offered,238
advertised,238
mad,238
york,238
contain,238
"okay,",238
photo,237
stores,237
toys,237
child.,237
informative,237
paying,237
violence,237
shut,237
wheel,237
fear,236
richard,236
tips,236
teaching,236
toward,236
"thing,",236
presents,236
william,236
indeed,236
network,236
greatly,235
folks,235
building,235
ruined,235
lesson,235
tea,235
publisher,235
recordings,235
13,235
confused,235
defective,235
thru,234
dissapointed,234
comment,234
train,234
bar,234
willing,234
born,234
"""when",233
"school,",233
friends.,233
aside,233
records,233
easily.,233
whom,233
release.,233
mediocre,233
eragon,233
label,232
introduced,232
sections,232
"""i've",232
material.,232
deserve,232
board,232
prose,231
attempts,231
"more,",231
remains,231
scenes.,231
thus,231
discs,231
driving,231
code,231
"""after",231
filter,231
becoming,231
cross,230
random,230
everybody,230
thrilled,230
church,230
copy.,230
sadly,229
widescreen,229
14,229
exam,229
thick,228
explanation,228
joe,228
stories.,228
book's,228
murder,228
"others,",228
user,227
bill,227
mary,227
adam,227
fans.,227
catholic,227
numbers,226
whenever,226
imagination,225
requires,225
option,225
shop,225
compelling,225
we're,225
previously,225
load,225
julia,225
charger,224
lucky,224
team,224
leading,224
yellow,224
"works,",224
german,224
properly,224
directed,224
necessary,224
pan,224
van,224
glass,223
ones.,223
prepared,223
they've,223
novels.,223
y,223
steve,223
entertainment,223
signal,223
dropped,223
newer,223
"reading,",223
hang,222
sings,222
"later,",222
asking,222
graphic,222
recieved,222
alien,222
majority,222
won,222
size.,222
"show,",222
grab,222
screw,221
"days,",221
working.,221
star.,220
sense.,220
impression,220
hurt,220
read!,220
dogs,220
ok.,220
"classic,",220
spirit,220
strength,220
"sound,",220
floor,220
true.,219
loving,219
holes,219
films.,219
children's,219
tend,219
understand.,219
action.,219
skills,218
80's,218
leads,218
new.,218
"otherwise,",218
brain,218
rip,218
adventures,218
oil,218
spiritual,218
saving,217
island,217
excuse,217
try.,217
annoying.,217
kids.,217
vocal,217
follows,217
edited,217
areas,217
mood,216
remote,216
it?,216
childhood,216
genius,216
explained,216
connected,216
manages,216
flimsy,216
win,216
pump,216
voices,215
tour,215
spot,215
seconds,215
avid,215
"like,",215
hours.,215
everyone.,215
cook,215
ripped,214
are.,214
hill,214
emotion,214
drop,214
blu,214
durable,214
dvd's,214
bob,214
tolkien,214
wild,213
x,213
dad,213
"pages,",213
effective,213
tools,213
piano,213
jokes,213
"sure,",213
scared,213
slowly,213
russian,213
handy,213
reader.,212
former,212
go.,212
blow,212
touching,212
editing,212
"""it",212
camera.,212
directly,212
of.,211
error,211
ages,211
debut,211
dealing,211
garbage.,211
'the,211
answers,211
anyway.,211
sale,211
junk.,210
claim,210
hoped,210
treat,210
constant,210
burn,210
anyway,209
amazon.com,209
poor.,209
grown,209
million,209
wet,209
perfectly.,209
topic,209
while.,209
"really,",209
different.,209
"together,",209
ancient,208
nice.,208
inch,208
appeared,208
theory,208
hanging,208
removed,207
wasting,207
via,207
animal,207
jump,207
interviews,207
supporting,207
technology,207
another.,206
ground,206
refund.,206
16,206
birthday,206
passion,206
"made,",206
tv.,206
buttons,205
fault,205
nightmare,205
thomas,205
genre.,205
seven,205
"hand,",205
two.,205
too!,205
translation,205
"history,",205
pad,205
narrative,204
brief,204
appropriate,204
pace,204
wind,204
essential,204
related,204
training,204
useless.,204
terribly,204
proves,204
produce,204
worry,204
recognize,204
cases,204
ben,204
breaks,203
non,203
grand,203
extreme,203
products.,203
shots,203
pocket,203
attached,203
spanish,203
"style,",203
"no,",202
selection,202
level.,202
picture.,202
speaker,202
magazine,202
valuable,202
stayed,202
planning,202
2.,202
disc.,202
again!,202
julie,202
frank,202
time!,201
frustrating,201
"her,",201
utterly,201
myself.,201
surely,200
combination,200
accept,200
land,200
driver,200
virtually,200
concerned,200
dust,200
period.,200
reasonable,200
18,200
week.,200
pearl,200
belt,199
"beautiful,",199
email,199
data,199
toy.,199
lessons,199
picking,199
somebody,199
rough,199
holiday,199
helping,199
laughed,198
paint,198
beach,198
sample,198
cry,198
"enough,",198
situations,198
opportunity,198
wire,198
overly,198
taught,198
core,198
unit.,198
and/or,197
hip,197
"original,",197
position,197
relatively,197
tales,197
available.,197
say.,197
bear,197
upset,197
"voice,",197
motor,197
shocked,196
fabulous,196
themes,196
albums.,196
reminded,196
charles,196
merely,196
see.,196
planet,195
animation,195
"be,",195
military,195
ink,195
suggested,195
ii,195
settings,195
hype,195
budget,195
remake,195
freddy,195
later.,194
frequently,194
performance.,194
chinese,194
head.,194
unusual,194
dozen,194
anniversary,194
news,194
dragon,193
pot,193
rid,193
capture,193
"scenes,",193
west,193
faster,192
tree,192
heart.,192
married,192
sucks,192
emotions,192
"excellent,",192
caused,192
flies,192
russell,192
enjoyable.,191
mac,191
water.,191
nowhere,191
r,191
physical,191
costs,191
trash.,191
quiet,191
perform,191
magical,190
re-read,190
wore,190
forgotten,190
"with,",190
redeeming,190
field,190
